,Id,SalePrice,SalePrice_log,MSSubClass,LotFrontage,LotArea,OverallQual,YearBuilt,MasVnrArea,ExterQual,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageFinish,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,TotalSF,Age,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasFirePlace,HasGasHeating,HasExBsmtQual,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType
278,279,415298,12.93675161,20,107,14450,9,2006,315,Ex,0,2121,2121,2121,0,2121,0,0,2,1,1,Ex,8,Attchd,Fin,732,TA,124,98,0,0,142,4242,4014,240,2.5,3,0,1,1,0,2,1,1,0,1,2,0,2
279,280,192000,12.16525065,60,83,10005,7,1977,299,TA,392,768,1160,1156,866,2022,0,0,2,1,1,TA,8,Attchd,Fin,505,TA,288,117,0,0,0,3182,3985,117,2.5,0,1,1,1,0,1,1,0,0,1,1,0,1
280,281,228500,12.33929149,60,82,11287,7,1989,340,Gd,421,386,807,1175,807,1982,0,0,2,1,1,Gd,7,Attchd,Fin,575,TA,0,84,0,196,0,2789,3996,280,2.5,0,1,1,0,0,1,1,0,0,1,1,0,1
281,282,185000,12.1281111,20,60,7200,6,2006,68,Gd,905,357,1262,1262,0,1262,0,0,2,0,1,Gd,5,Attchd,Fin,572,TA,0,120,0,0,0,2524,4012,120,2,0,0,1,0,0,1,1,0,0,1,2,1,1
282,283,207500,12.24288662,120,34,5063,7,2007,166,Gd,904,410,1314,1314,0,1314,1,0,2,0,1,Gd,6,Attchd,RFn,626,TA,172,62,0,0,0,2628,4017,62,3,0,0,1,1,0,1,1,0,0,1,2,1,2
283,284,244600,12.4073795,20,74,9612,8,2008,72,Gd,0,1468,1468,1468,0,1468,0,0,2,0,1,Gd,6,Attchd,Fin,898,TA,210,150,0,0,0,2936,4018,150,2,3,0,1,1,0,1,1,0,0,1,2,1,1
284,285,179200,12.09625778,120,50,8012,6,1992,0,Gd,430,1145,1575,1575,0,1575,1,0,2,0,1,Gd,5,Attchd,RFn,529,TA,0,0,52,0,0,3150,3999,52,3,0,0,1,0,0,1,1,0,0,1,2,0,1
285,286,164700,12.01188092,160,35,4251,7,2006,0,Gd,0,625,625,625,625,1250,0,0,2,1,1,Gd,5,Detchd,RFn,528,TA,0,54,0,0,0,1875,4014,54,2.5,0,1,1,0,0,1,1,0,1,1,2,0,1
286,287,159000,11.97665948,50,77,9786,6,1962,0,TA,600,312,912,1085,649,1734,0,0,1,1,1,Gd,7,Attchd,RFn,440,TA,0,0,0,0,128,2646,3987,128,1.5,0,1,1,0,0,1,1,0,1,1,1,0,1
287,288,88000,11.38509209,20,70.04995837,8125,4,1971,0,TA,614,244,858,858,0,858,0,0,1,0,1,TA,5,None,None,0,None,0,0,0,0,0,1716,3977,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1
288,289,122000,11.71177632,20,70.04995837,9819,5,1967,31,TA,450,432,882,900,0,900,0,0,1,0,1,TA,5,Detchd,Unf,280,TA,0,0,0,0,0,1782,3977,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1
289,290,153575,11.94194433,70,60,8730,6,1915,0,TA,0,698,698,698,698,1396,0,0,1,0,1,TA,7,Detchd,Unf,384,TA,0,0,0,0,259,2094,4010,259,1,0,1,1,0,0,1,1,0,0,1,0,0,1
290,291,233230,12.35978037,60,120,15611,8,2006,0,Gd,0,1079,1079,1079,840,1919,0,0,2,1,1,Gd,8,Attchd,RFn,685,Gd,0,51,0,0,0,2998,4012,51,2.5,0,1,1,0,0,1,1,0,0,1,2,0,1
291,292,135900,11.8196746,190,55,5687,5,1912,0,TA,210,570,780,936,780,1716,1,0,2,0,1,Fa,9,None,None,0,None,0,184,0,0,0,2496,4008,184,3,0,1,1,0,0,1,1,0,0,1,2,0,1
292,293,131000,11.7829526,50,60,11409,5,1949,0,TA,292,476,768,1148,568,1716,0,0,1,1,1,TA,8,Attchd,Unf,281,TA,0,0,0,0,160,2484,4017,160,1.5,0,1,1,0,0,1,1,0,0,1,1,0,1
293,294,235000,12.36734079,60,70.04995837,16659,7,1977,34,TA,795,0,795,1468,795,2263,1,0,2,1,1,Gd,9,Attchd,Fin,539,TA,0,250,0,0,0,3058,4000,250,3.5,0,1,1,0,0,1,1,0,1,1,1,0,1
294,295,167000,12.02574909,20,80,9600,6,1953,238,TA,1285,131,1416,1644,0,1644,1,0,1,0,1,TA,7,Attchd,Fin,418,TA,110,0,0,0,0,3060,3962,0,2,0,0,0,1,0,1,1,0,0,1,1,1,1
295,296,142500,11.86709728,80,37,7937,6,1984,0,TA,819,184,1003,1003,0,1003,1,0,1,0,1,TA,6,Detchd,Unf,588,TA,120,0,0,0,0,2006,3990,0,2,0,0,0,1,0,1,1,0,1,1,1,0,1
296,297,152000,11.9316358,50,75,13710,5,1950,0,TA,420,490,910,910,648,1558,0,0,1,1,1,TA,6,Attchd,Unf,282,TA,289,0,0,0,0,2468,3957,0,1.5,0,1,0,1,0,1,1,0,0,1,1,0,0
298,299,175000,12.07254125,60,90,11700,6,1968,365,Gd,384,143,702,1041,702,1743,0,1,1,2,1,TA,7,Attchd,Unf,539,TA,224,0,0,0,0,2445,3975,0,2.5,0,1,0,1,0,1,1,0,0,1,1,0,1
299,300,158500,11.97350987,20,80,14000,6,1950,0,TA,0,1092,1092,1152,0,1152,0,1,1,0,1,Gd,6,Attchd,Unf,300,TA,0,36,0,0,0,2244,4013,36,1.5,0,0,1,0,0,1,1,0,0,1,1,0,1
300,301,157000,11.96400108,190,90,15750,5,1953,56,TA,841,324,1165,1336,0,1336,1,0,1,0,1,TA,5,Attchd,Unf,375,TA,0,0,0,0,0,2501,3959,0,2,0,0,0,0,0,1,1,0,0,1,1,0,1
301,302,267000,12.49500394,60,66,16226,8,1998,0,Gd,281,747,1028,1210,1242,2452,0,0,2,1,1,Gd,9,BuiltIn,Fin,683,TA,208,50,0,0,0,3480,4006,50,2.5,0,1,1,1,0,1,1,0,1,1,2,0,1
302,303,205000,12.23076526,20,118,13704,7,2001,150,Gd,0,1541,1541,1541,0,1541,0,0,2,0,1,Gd,6,Attchd,RFn,843,TA,468,81,0,0,0,3082,4008,81,2,3,0,1,1,0,1,1,0,1,1,2,0,1
303,304,149900,11.91772368,20,70,9800,5,1972,0,TA,894,0,894,894,0,894,1,0,1,0,1,TA,5,Attchd,Unf,552,TA,256,0,0,0,0,1788,3978,0,2,0,0,0,1,0,1,1,0,0,1,2,0,1
304,305,295000,12.59473064,75,87,18386,7,1880,0,TA,0,1470,1470,1675,1818,3493,0,0,3,0,1,Gd,10,Attchd,Unf,870,TA,302,0,0,0,0,4963,4010,0,3,3,1,0,1,0,2,1,0,0,1,0,0,1
305,306,305900,12.63101353,20,80,10386,8,2004,246,Gd,1464,536,2000,2000,0,2000,1,0,2,0,1,Gd,8,Attchd,Fin,888,TA,168,0,0,0,0,4000,4012,0,3,3,0,0,1,0,1,1,0,0,1,2,1,1
306,307,225000,12.32385568,60,116,13474,7,1990,246,Gd,700,0,700,1122,1121,2243,1,0,2,1,1,Gd,8,Attchd,RFn,746,TA,127,44,224,0,0,2943,3998,268,3.5,3,1,1,1,0,1,1,0,0,1,1,0,1
307,308,89500,11.4019939,50,70.04995837,7920,6,1920,0,TA,0,319,319,1035,371,1406,0,0,1,0,1,Fa,6,None,None,0,None,0,144,0,0,0,1725,3958,144,1,0,1,1,0,0,1,1,0,1,1,1,0,0
308,309,82500,11.32055357,30,70.04995837,12342,4,1940,0,TA,262,599,861,861,0,861,0,0,1,0,1,TA,4,Detchd,Unf,539,TA,158,0,0,0,0,1722,3959,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1
309,310,360000,12.79385931,20,90,12378,9,2003,0,Gd,1274,622,1896,1944,0,1944,1,0,2,0,1,Ex,8,Attchd,Fin,708,TA,208,175,0,0,0,3840,4010,175,3,3,0,1,1,0,2,1,1,1,1,2,0,2
310,311,165600,12.01733052,60,70.04995837,7685,6,1993,112,TA,518,179,697,697,804,1501,0,0,2,1,1,Gd,6,Attchd,Fin,420,TA,190,63,0,0,0,2198,4000,63,2.5,0,1,1,1,0,1,1,0,1,1,2,0,1
311,312,132000,11.7905572,20,50,8000,6,1948,0,TA,680,292,972,972,0,972,1,0,1,0,1,TA,5,Detchd,Unf,240,TA,0,0,0,0,0,1944,4011,0,2,0,0,0,0,0,1,1,0,0,1,1,0,1
312,313,119900,11.69441334,190,65,7800,5,1939,0,TA,507,286,793,793,325,1118,1,0,1,0,1,TA,5,Detchd,Unf,410,TA,0,0,0,0,271,1911,3956,271,2,0,1,1,0,0,1,1,0,0,1,1,0,1
314,315,178000,12.08953883,70,60,9600,7,1925,0,TA,16,712,728,832,809,1641,0,1,1,1,1,Ex,6,Detchd,Unf,546,Fa,0,0,234,0,0,2369,3996,234,2,0,1,1,0,0,1,1,0,0,1,0,0,1
315,316,188500,12.14685329,60,71,7795,7,2004,0,Gd,425,291,716,716,716,1432,1,0,2,1,1,Gd,6,Attchd,Fin,432,TA,100,51,0,0,0,2148,4014,51,3.5,0,1,1,1,0,1,1,0,1,1,2,0,1
316,317,260000,12.46843691,60,94,13005,7,1980,278,Gd,692,153,845,1153,1200,2353,1,0,2,1,1,Ex,10,Attchd,RFn,484,TA,288,195,0,0,0,3198,3989,195,3.5,0,1,1,1,0,1,1,0,1,1,1,0,1
317,318,270000,12.50617724,60,75,9000,8,2006,0,Gd,0,1088,1088,1088,871,1959,0,0,2,1,1,Gd,8,Attchd,RFn,1025,TA,208,46,0,0,0,3047,4013,46,2.5,3,1,1,1,0,1,1,0,0,1,2,0,1
318,319,260000,12.46843691,60,90,9900,7,1993,256,Gd,987,360,1347,1372,1274,2646,1,0,2,1,1,Gd,9,Attchd,RFn,656,TA,340,60,144,0,0,3993,4002,204,3.5,3,1,1,1,0,1,1,0,0,1,2,0,2
319,320,187500,12.14153412,80,70.04995837,14115,7,1980,225,TA,1036,336,1372,1472,0,1472,1,0,2,0,1,TA,6,Attchd,Unf,588,TA,233,48,0,0,0,2844,3989,48,3,0,0,1,1,0,1,1,0,0,1,1,0,1
320,321,342643,12.74444437,60,111,16259,9,2006,370,TA,0,1249,1249,1249,1347,2596,0,0,3,1,1,Gd,9,Attchd,RFn,840,TA,240,154,0,0,0,3845,4012,154,3.5,3,1,1,1,0,1,1,1,0,1,2,1,2
321,322,354000,12.77705219,60,99,12099,8,2004,388,Gd,970,166,1136,1136,1332,2468,1,0,2,1,1,Gd,10,BuiltIn,Fin,872,TA,184,154,0,0,0,3604,4011,154,3.5,3,1,1,1,0,1,1,1,1,1,2,0,2
322,323,301000,12.61486554,60,86,10380,7,1986,172,Gd,28,0,1502,1553,1177,2730,1,0,2,1,1,Gd,8,Attchd,Fin,576,TA,201,96,0,0,0,4232,3994,96,3.5,0,1,1,1,0,1,1,0,1,1,1,0,1
323,324,126175,11.74542511,20,49,5820,3,1955,0,TA,256,906,1162,1163,0,1163,1,0,1,0,1,TA,6,Attchd,Unf,220,Fa,142,98,0,0,0,2325,4011,98,2,0,0,1,1,0,1,1,0,0,1,1,0,1
324,325,242000,12.39669301,80,96,11275,7,1967,300,Gd,0,710,710,1898,1080,2978,0,0,2,1,1,Gd,11,BuiltIn,Fin,564,TA,240,0,0,0,0,3688,4017,0,2.5,0,1,0,1,0,1,1,0,0,1,1,0,1
325,326,87000,11.3736634,45,50,5000,5,1941,0,TA,116,604,720,803,0,803,0,0,1,0,1,TA,5,Detchd,Unf,360,TA,0,0,244,0,0,1523,3957,244,1,0,0,1,0,0,1,1,0,0,1,1,0,0
326,327,324000,12.68849879,120,32,10846,8,1993,0,Gd,1619,100,1719,1719,0,1719,2,0,1,1,1,Gd,6,Attchd,Fin,473,TA,122,30,0,0,0,3438,4001,30,3.5,0,0,1,1,0,1,1,0,1,1,2,0,1
327,328,145250,11.88621167,20,80,11600,6,1960,175,TA,565,818,1383,1383,0,1383,0,0,1,1,1,TA,7,Attchd,RFn,292,TA,0,45,0,0,0,2766,3966,45,1.5,0,0,1,0,0,1,1,0,0,1,1,0,1
328,329,214500,12.27606502,75,70.04995837,11888,6,1916,0,TA,0,844,844,1445,689,2134,0,0,2,0,1,Gd,10,Detchd,Unf,441,TA,0,60,268,0,0,2978,4003,328,2,0,1,1,0,0,1,1,0,1,1,0,0,1
329,330,78000,11.26446411,70,60,6402,5,1920,0,TA,0,596,596,596,596,1192,0,0,1,0,1,TA,6,Detchd,Unf,189,Fa,0,0,137,0,0,1788,3959,137,1,0,1,1,0,0,1,1,0,0,1,2,0,0
330,331,119000,11.68687877,90,70.04995837,10624,5,1964,84,TA,40,1424,1728,1728,0,1728,0,1,2,0,2,TA,10,Detchd,Unf,352,TA,155,0,0,0,0,3456,3971,0,2.5,0,0,0,1,0,1,1,0,1,1,1,0,1
331,332,139000,11.84222921,20,70,8176,5,1958,0,TA,846,210,1056,1056,0,1056,1,0,1,0,1,TA,6,Attchd,RFn,308,TA,0,0,0,0,0,2112,3999,0,2,0,0,0,0,0,1,1,0,0,1,1,0,1
332,333,284000,12.55672952,20,85,10655,8,2003,296,Gd,1124,1603,3206,1629,0,1629,1,0,2,0,1,Gd,7,Attchd,RFn,880,TA,0,0,0,0,0,4835,4013,0,3,3,0,0,0,0,1,1,0,1,1,2,0,2
333,334,207000,12.24047407,120,59,8198,7,2004,146,Gd,720,638,1358,1358,0,1358,1,0,2,0,1,Gd,6,Attchd,RFn,484,TA,192,30,0,0,0,2716,4012,30,3,0,0,1,1,0,1,1,0,0,1,2,1,2
334,335,192000,12.16525065,60,59,9042,6,1998,0,TA,828,115,943,943,695,1638,1,0,2,1,1,TA,7,Attchd,Fin,472,TA,100,38,0,0,0,2581,4006,38,3.5,0,1,1,1,0,1,1,0,1,1,2,0,1
336,337,377426,12.8411298,20,86,14157,9,2005,200,Gd,1249,673,1922,1922,0,1922,1,0,2,0,1,Gd,8,Attchd,Fin,676,TA,178,51,0,0,0,3844,4013,51,3,3,0,1,1,0,1,1,1,1,1,2,1,2
337,338,214000,12.27373129,20,70,9135,7,2002,113,Gd,810,726,1536,1536,0,1536,1,0,2,0,1,Gd,7,Attchd,RFn,532,TA,192,74,0,0,0,3072,4011,74,3,0,0,1,1,0,1,1,0,0,1,2,0,1
338,339,202500,12.21849517,20,91,14145,7,1984,0,Gd,213,995,1208,1621,0,1621,1,0,2,0,1,Gd,8,Attchd,RFn,440,TA,108,45,0,0,0,2829,4004,45,3,0,0,1,1,0,1,1,0,0,1,1,0,1
339,340,155000,11.9511804,20,66,12400,6,1958,176,TA,585,630,1215,1215,0,1215,0,0,1,0,1,TA,6,Attchd,Unf,297,TA,0,0,0,0,234,2430,4007,234,1,0,0,1,0,0,1,1,0,1,1,1,0,1
340,341,202900,12.22046853,60,85,14191,8,2002,0,Gd,0,967,967,993,915,1908,0,0,2,1,1,Gd,9,Attchd,Fin,431,TA,135,0,0,0,0,2875,4012,0,2.5,0,1,0,1,0,1,1,0,0,1,2,0,1
341,342,82000,11.31447453,20,60,8400,4,1950,0,Fa,0,721,721,841,0,841,0,0,1,0,1,TA,4,CarPort,Unf,294,TA,250,0,24,0,0,1562,3959,24,1,0,0,1,1,0,1,1,0,0,1,1,0,1
342,343,87500,11.37939407,90,70.04995837,8544,3,1949,340,TA,0,0,0,1040,0,1040,0,0,2,0,2,TA,6,Detchd,Unf,400,TA,0,0,0,0,0,1040,3956,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1
343,344,266000,12.49125159,120,63,8849,9,2005,616,Ex,28,1656,1684,1684,0,1684,0,0,2,0,1,Ex,6,Attchd,RFn,564,TA,495,72,0,0,0,3368,4013,72,2,0,0,1,1,0,2,1,1,1,1,2,0,2
344,345,85000,11.35040654,160,36,2592,5,1976,0,TA,129,175,536,536,576,1112,0,0,1,1,1,TA,4,Attchd,Unf,336,TA,182,0,0,0,0,1648,3986,0,1.5,0,1,0,1,0,1,1,0,0,1,1,0,0
345,346,140200,11.85082525,50,65,6435,6,1939,0,TA,0,972,972,972,605,1577,0,0,1,0,1,Fa,6,Detchd,Unf,312,TA,0,0,0,0,0,2549,3956,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1
346,347,151500,11.9283409,20,70.04995837,12772,6,1960,0,TA,498,460,958,958,0,958,0,0,1,0,1,TA,5,Attchd,RFn,301,TA,0,0,0,0,0,1916,4005,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1
347,348,157500,11.96718074,20,70.04995837,17600,6,1960,30,TA,1270,208,1478,1478,0,1478,1,0,2,0,1,TA,6,Attchd,Unf,498,TA,0,40,0,0,0,2956,3969,40,3,0,0,1,0,0,1,1,0,1,1,1,0,1
348,349,154000,11.94470788,160,36,2448,7,2003,106,Gd,573,191,764,764,862,1626,1,0,2,1,1,Gd,6,BuiltIn,RFn,474,TA,0,27,0,0,0,2390,4012,27,3.5,0,1,1,0,0,1,1,0,0,1,2,1,2
349,350,437154,12.98804081,60,56,20431,9,2005,870,Ex,1410,438,1848,1848,880,2728,1,0,2,1,1,Ex,10,Attchd,Fin,706,TA,0,0,0,0,0,4576,4012,0,3.5,3,1,0,0,0,2,1,1,1,1,2,0,2
350,351,318061,12.66999847,120,68,7820,9,2007,362,Ex,0,1869,1869,1869,0,1869,0,0,2,0,1,Ex,6,Attchd,RFn,617,TA,210,54,0,0,0,3738,4014,54,2,0,0,1,1,0,1,1,1,1,1,2,0,2
351,352,190000,12.15477935,120,70.04995837,5271,7,1986,0,TA,1082,371,1453,1453,0,1453,1,0,1,1,1,Gd,6,Attchd,RFn,445,TA,0,80,0,0,184,2906,3992,264,2.5,0,0,1,0,0,1,1,0,1,1,2,0,1
352,353,95000,11.46163217,50,60,9084,5,1941,0,TA,236,0,616,616,495,1111,0,1,1,0,1,TA,5,Detchd,Unf,200,TA,48,0,0,0,0,1727,3958,0,1.5,0,1,0,1,0,1,1,0,0,1,1,0,1
353,354,105900,11.57025053,30,60,8520,6,1928,0,TA,0,624,624,720,0,720,0,0,1,0,1,TA,5,Detchd,Unf,484,TA,106,0,0,0,0,1344,4013,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1
354,355,140000,11.8493977,50,60,8400,6,1940,0,TA,388,552,940,1192,403,1595,0,0,1,0,1,TA,6,Attchd,Unf,240,TA,0,0,108,0,0,2535,4006,108,1,0,1,1,0,0,1,1,0,0,1,1,0,1
355,356,177500,12.08672589,20,105,11249,6,1995,0,Gd,334,322,1200,1200,0,1200,1,0,2,0,1,Gd,6,Attchd,RFn,521,TA,0,26,0,0,0,2400,4002,26,3,0,0,1,0,0,1,1,0,1,1,2,0,1
356,357,173000,12.06104687,20,70.04995837,9248,6,1992,106,TA,560,598,1158,1167,0,1167,1,0,2,0,1,Gd,6,Attchd,RFn,400,TA,120,26,0,0,0,2325,4001,26,3,0,0,1,1,0,1,1,0,1,1,2,0,1
357,358,134000,11.80559508,120,44,4224,5,1976,0,TA,874,268,1142,1142,0,1142,1,0,1,1,1,TA,6,Attchd,Fin,528,TA,536,90,0,0,0,2284,3983,90,2.5,0,0,1,1,0,1,1,0,0,1,2,0,0
358,359,130000,11.77528973,80,92,6930,5,1958,120,TA,300,468,1062,1352,0,1352,0,1,1,0,1,Gd,6,BuiltIn,Unf,288,TA,168,0,294,0,0,2414,3964,294,1.5,0,0,1,1,0,1,1,0,1,1,1,0,1
359,360,280000,12.54254488,60,78,12011,8,1998,530,Gd,956,130,1086,1086,838,1924,1,0,2,1,1,Gd,7,Attchd,RFn,592,TA,208,75,0,0,374,3010,4004,449,3.5,0,1,1,1,0,1,1,0,1,1,2,0,2
360,361,156000,11.95761129,85,70.04995837,7540,6,1978,0,TA,773,115,888,912,0,912,1,0,1,0,1,TA,5,Attchd,RFn,470,TA,0,0,0,0,192,1800,3985,192,2,0,0,1,0,0,1,1,0,1,1,1,0,1
361,362,145000,11.88448902,50,70.04995837,9144,5,1940,0,TA,399,484,883,988,517,1505,1,0,1,0,1,TA,8,Detchd,Unf,240,TA,0,0,0,0,0,2388,3990,0,2,0,1,0,0,0,1,1,0,0,1,1,0,1
362,363,198500,12.19854438,85,64,7301,7,2003,500,Gd,0,0,0,495,1427,1922,0,0,3,0,1,Gd,7,BuiltIn,RFn,672,TA,0,0,177,0,0,1922,4012,177,3,0,1,1,0,0,2,1,0,0,1,0,0,1
363,364,118000,11.6784399,160,21,1680,6,1972,510,TA,162,321,483,483,504,987,0,0,1,1,1,Gd,5,Detchd,Unf,264,TA,250,0,0,0,0,1470,4016,0,1.5,0,1,0,1,0,1,1,0,0,1,1,0,0
364,365,190000,12.15477935,60,70.04995837,18800,6,1976,120,TA,712,84,796,790,784,1574,1,0,2,1,1,TA,6,Attchd,Fin,566,TA,306,111,0,0,0,2370,3982,111,3.5,0,1,1,1,0,1,1,0,1,1,2,0,1
365,366,147000,11.89818787,70,59,10690,5,1920,0,TA,456,216,672,672,672,1344,0,0,1,0,1,TA,6,Detchd,Unf,468,TA,0,128,218,0,0,2016,4006,346,1,0,1,1,0,0,1,1,0,0,1,1,0,0
366,367,159000,11.97665948,20,70.04995837,9500,6,1963,247,TA,609,785,1394,1394,0,1394,1,0,1,1,1,TA,6,Attchd,RFn,514,TA,0,76,0,0,185,2788,3972,261,2.5,0,0,1,0,0,1,1,0,1,1,1,0,1
367,368,165000,12.01370075,80,101,9150,6,1962,305,TA,371,728,1099,1431,0,1431,0,1,1,0,1,TA,6,Basment,RFn,296,TA,64,110,0,0,0,2530,3970,110,1.5,0,0,1,1,0,1,1,0,1,1,1,0,1
368,369,132000,11.7905572,20,78,7800,5,1954,200,TA,540,728,1268,1268,0,1268,0,0,1,0,1,TA,7,Attchd,Fin,244,TA,0,98,0,0,0,2536,3964,98,1,0,0,1,0,0,1,1,0,0,1,2,0,1
369,370,162000,11.99535161,20,70.04995837,9830,5,1959,0,TA,72,733,1063,1287,0,1287,1,0,1,0,1,Gd,7,Detchd,Fin,576,TA,364,17,0,0,182,2350,4016,199,2,0,0,1,1,0,1,1,0,1,1,1,0,1
370,371,172400,12.05757264,60,70.04995837,8121,6,2000,0,TA,0,953,953,953,711,1664,0,0,2,1,1,TA,7,Attchd,RFn,460,TA,100,40,0,0,0,2617,4006,40,2.5,0,1,1,1,0,1,1,0,1,1,2,0,1
371,372,134432,11.80881377,50,80,17120,4,1959,0,TA,0,0,0,1120,468,1588,0,0,2,0,1,TA,7,Detchd,Fin,680,TA,0,59,0,0,0,1588,3967,59,2,0,1,1,0,0,1,1,0,0,1,1,0,1
372,373,125000,11.73606902,120,50,7175,6,1984,0,TA,623,0,744,752,0,752,1,0,1,0,1,TA,4,Attchd,Unf,264,TA,353,0,0,0,90,1496,3994,90,2,0,0,1,1,0,1,1,0,0,1,1,0,1
373,374,123000,11.71993963,20,79,10634,5,1953,0,TA,428,0,608,1319,0,1319,1,0,1,0,1,TA,5,Attchd,Unf,270,TA,66,0,0,0,0,1927,3962,0,2,0,0,0,1,0,1,1,0,0,1,2,0,1
374,375,219500,12.29910751,60,65,8200,7,2003,0,Gd,0,847,847,847,1081,1928,0,0,2,1,1,Gd,8,BuiltIn,Fin,434,TA,100,48,0,0,0,2775,4011,48,2.5,0,1,1,1,0,1,1,0,0,1,2,0,1
375,376,61000,11.01862914,30,70.04995837,10020,1,1922,0,Fa,350,333,683,904,0,904,1,0,0,1,1,Fa,4,None,None,0,None,0,0,0,0,0,1587,3959,0,1.5,0,0,0,0,0,1,1,0,1,1,0,0,1
376,377,148000,11.90496755,85,57,8846,5,1996,0,Gd,298,572,870,914,0,914,0,0,1,0,1,TA,5,Detchd,Unf,576,TA,0,0,0,0,0,1784,4002,0,1,0,0,0,0,0,1,1,0,1,1,2,0,1
377,378,340000,12.7367009,60,102,11143,8,2004,0,Gd,0,1580,1580,1580,886,2466,0,0,3,0,1,Gd,8,Attchd,RFn,610,TA,159,214,0,0,0,4046,4012,214,3,0,1,1,1,0,1,1,0,1,1,2,0,1
378,379,394432,12.88520203,20,88,11394,9,2010,350,Gd,1445,411,1856,1856,0,1856,1,0,1,1,1,Ex,8,Attchd,Fin,834,TA,113,0,0,0,0,3712,4020,0,2.5,3,0,0,1,0,2,1,1,0,1,2,1,2
379,380,179000,12.09514108,60,60,8123,6,2000,16,TA,0,982,982,1007,793,1800,0,0,2,1,1,TA,7,Attchd,Fin,463,TA,100,63,0,0,0,2782,4009,63,2.5,0,1,1,1,0,1,1,0,1,1,2,0,1
380,381,127000,11.75194237,50,50,5000,5,1924,0,TA,218,808,1026,1026,665,1691,0,0,2,0,1,Gd,6,Detchd,Unf,308,TA,0,0,242,0,0,2717,3960,242,2,0,1,1,0,0,1,1,0,0,1,0,0,1
381,382,187750,12.14286657,20,60,7200,7,2006,0,Gd,0,1293,1293,1301,0,1301,1,0,2,0,1,Gd,5,Attchd,RFn,572,TA,216,121,0,0,0,2594,4012,121,3,0,0,1,1,0,1,1,0,0,1,2,0,1
382,383,213500,12.27139211,60,79,9245,7,2006,0,Gd,0,939,939,939,858,1797,0,0,2,1,1,Gd,8,Attchd,RFn,639,TA,144,53,0,0,0,2736,4013,53,2.5,0,1,1,1,0,1,1,0,1,1,2,0,1
383,384,76000,11.23848862,45,60,9000,6,1928,0,TA,0,784,784,784,0,784,0,0,1,0,1,TA,5,Detchd,Unf,360,Fa,0,0,91,0,0,1568,3959,91,1,0,0,1,0,0,1,1,0,0,1,0,0,1
384,385,240000,12.3883942,60,70.04995837,53107,6,1992,0,Gd,985,595,1580,1079,874,1953,1,0,2,1,1,Gd,9,Attchd,Fin,501,TA,216,231,0,0,0,3533,3999,231,3.5,0,1,1,1,0,1,1,0,1,1,2,0,1
385,386,192000,12.16525065,120,43,3182,8,2004,16,Gd,24,1232,1256,1269,0,1269,0,0,2,0,1,Gd,6,Attchd,Fin,430,TA,146,20,0,0,144,2525,4015,164,2,0,0,1,1,0,1,1,0,0,1,2,0,1
386,387,81000,11.30220443,50,58,8410,5,1910,0,TA,0,658,658,658,526,1184,0,0,1,0,1,TA,8,None,None,0,None,0,151,0,0,0,1842,4002,151,1,0,1,1,0,0,1,1,0,0,1,2,0,1
387,388,125000,11.73606902,80,72,7200,6,1976,255,TA,631,410,1041,1125,0,1125,1,0,1,0,1,TA,6,Detchd,Unf,352,TA,296,0,0,0,0,2166,3985,0,2,0,0,0,1,0,1,1,0,0,1,1,0,1
388,389,191000,12.16002871,20,93,9382,7,1999,125,Gd,0,1468,1468,1479,0,1479,0,0,2,0,1,Gd,6,Attchd,RFn,577,TA,120,25,0,0,0,2947,4008,25,2,0,0,1,1,0,1,1,0,1,1,2,0,1
389,390,426000,12.96219463,60,96,12474,10,2007,272,Ex,1280,402,1682,1742,590,2332,1,0,2,1,1,Ex,9,BuiltIn,Fin,846,TA,196,134,0,0,0,4014,4016,134,3.5,3,1,1,1,0,2,1,1,0,1,2,1,2
390,391,119000,11.68687877,50,50,8405,5,1900,0,TA,241,229,861,961,406,1367,1,0,1,0,1,TA,7,Detchd,Unf,384,TA,0,130,112,0,0,2228,3958,242,2,0,1,1,0,0,1,1,0,0,1,0,0,1
391,392,215000,12.27839331,60,71,12209,6,2001,0,TA,690,114,804,804,1157,1961,1,0,2,1,1,Gd,7,BuiltIn,Fin,560,TA,125,192,0,0,0,2765,4011,192,3.5,0,1,1,1,0,1,1,1,1,1,2,0,1
