,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageCond,PoolQC,Fence,MiscFeature,SalePrice_log,SalePrice
224,Ex,TA,Gd,GLQ,Unf,Ex,Y,Ex,Typ,Ex,Fin,TA,None,None,None,12.864240107194092,386250
225,TA,TA,No,Unf,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.626254150277232,112000
226,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.577636201962656,290000
227,TA,TA,No,Rec,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.571194373094205,106000
228,TA,TA,No,ALQ,Unf,TA,Y,TA,Typ,Fa,Unf,TA,None,MnPrv,None,11.736069016284437,125000
229,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.167851432709975,192500
230,TA,TA,No,Unf,Unf,TA,Y,TA,Typ,None,RFn,TA,None,None,None,11.904967552746252,148000
231,Gd,TA,No,GLQ,Unf,Ex,Y,Ex,Typ,TA,Fin,TA,None,None,None,12.90669184092882,403000
232,TA,TA,No,Unf,Unf,TA,Y,TA,Typ,Po,Unf,TA,None,None,None,11.456355113481834,94500
233,TA,Gd,Av,LwQ,ALQ,TA,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.761346823468706,128200
234,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.285345826424681,216500
235,TA,TA,No,ALQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.401993904262946,89500
236,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.130810161029627,185500
237,Gd,TA,No,BLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.178187442040638,194500
238,Ex,TA,No,Unf,Unf,Ex,Y,Gd,Typ,None,Fin,TA,None,None,None,12.669806661762314,318000
239,TA,Fa,No,LwQ,Unf,TA,Y,TA,Typ,Gd,Unf,TA,None,MnPrv,None,11.635143097694478,113000
240,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.478006361013815,262500
241,TA,TA,No,ALQ,Unf,Gd,Y,Gd,Typ,None,None,None,None,None,None,11.612770799939945,110500
242,TA,TA,No,Unf,Unf,Gd,N,TA,Typ,None,Unf,TA,None,None,None,11.27720313144916,79000
243,Gd,TA,No,Unf,Unf,TA,Y,TA,Typ,TA,RFn,TA,None,None,None,11.695247021764184,120000
244,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,Fa,RFn,TA,None,None,None,12.230765258120545,205000
245,Gd,TA,Av,GLQ,Unf,Gd,Y,TA,Typ,TA,Fin,TA,None,None,None,12.394624752074764,241500
246,Fa,TA,No,Unf,Unf,Gd,N,Fa,Typ,None,Unf,Po,None,None,None,11.827736204810263,137000
247,TA,TA,No,Unf,Unf,Ex,Y,TA,Typ,TA,Unf,TA,None,None,None,11.84939770159144,140000
248,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.100712129872347,180000
249,Gd,TA,Gd,Rec,Unf,Gd,Y,Gd,Typ,TA,Fin,TA,None,None,Shed,12.531772785169476,277000
250,TA,TA,No,Unf,Unf,Ex,Y,Fa,Mod,None,None,None,None,GdWo,Shed,11.245046019814627,76500
251,Gd,TA,Gd,GLQ,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.367340793126296,235000
252,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.061046873479915,173000
253,Gd,TA,Gd,LwQ,ALQ,Ex,Y,Gd,Min1,None,RFn,TA,None,MnPrv,None,11.970350312009105,158000
254,TA,TA,No,Rec,Unf,TA,Y,TA,Typ,None,RFn,TA,None,None,None,11.884489021402711,145000
255,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.345834587905333,230000
256,Gd,TA,No,Rec,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.24288661865289,207500
257,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.301382825334498,220000
258,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.352335152508426,231500
259,None,None,None,None,None,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.48246625748552,97000
260,TA,TA,Gd,Rec,ALQ,TA,Y,TA,Typ,TA,Unf,TA,None,GdWo,None,12.078239274020289,176000
261,Ex,TA,No,Unf,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.528156144699286,276000
262,Gd,Gd,Av,ALQ,Unf,TA,Y,TA,Typ,TA,Unf,TA,None,GdWo,None,11.925035115797062,151000
263,TA,TA,No,LwQ,ALQ,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.77528972943772,130000
264,Fa,TA,No,Unf,Unf,Gd,N,TA,Typ,None,Unf,TA,None,None,None,11.198214720130528,73000
265,Gd,TA,No,GLQ,LwQ,TA,Y,Gd,Typ,TA,Fin,TA,None,GdPrv,None,12.075394321888057,175500
266,Gd,TA,Av,GLQ,Unf,Gd,Y,TA,Typ,TA,Fin,TA,None,None,None,12.128111104060462,185000
267,TA,TA,No,LwQ,Unf,Ex,Y,Gd,Typ,Gd,Unf,TA,None,None,None,12.097930486910471,179500
268,TA,TA,No,ALQ,Rec,Ex,Y,TA,Typ,Gd,Fin,Ex,None,None,None,11.699405031912846,120500
269,TA,Gd,No,BLQ,Unf,TA,Y,TA,Typ,Fa,RFn,Gd,None,GdPrv,None,11.904967552746252,148000
270,Gd,TA,Mn,Unf,Unf,Gd,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.491251587763836,266000
271,Gd,TA,Gd,LwQ,GLQ,Ex,Y,TA,Mod,TA,Unf,TA,None,None,None,12.394624752074764,241500
272,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.577636201962656,290000
273,TA,TA,No,Rec,LwQ,Gd,Y,TA,Min1,Gd,RFn,TA,None,MnPrv,None,11.842229212112828,139000
274,TA,TA,Gd,ALQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.732060994886899,124500
275,TA,TA,No,Unf,Unf,Gd,N,Ex,Typ,None,Unf,TA,None,None,None,12.230765258120545,205000
276,Ex,TA,No,Unf,Unf,Ex,Y,Gd,Typ,None,Fin,TA,None,None,None,12.211060187041213,201000
277,TA,TA,No,LwQ,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.856515169360305,141000
278,Ex,TA,Gd,Unf,Unf,Ex,Y,Ex,Typ,Ex,Fin,TA,None,None,None,12.936751613811438,415298
279,Gd,TA,No,BLQ,Unf,Ex,Y,TA,Typ,TA,Fin,TA,None,None,None,12.165250651009918,192000
280,Gd,TA,Av,GLQ,Unf,Gd,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.339291489316397,228500
281,Gd,TA,No,GLQ,Unf,Gd,Y,Gd,Typ,None,Fin,TA,None,None,None,12.128111104060462,185000
282,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.24288661865289,207500
283,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.407379502235209,244600
284,Gd,TA,No,GLQ,Unf,Gd,Y,Gd,Typ,None,RFn,TA,None,None,None,12.096257779522967,179200
285,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.011880916165731,164700
286,TA,TA,No,Rec,Unf,TA,Y,Gd,Typ,Gd,RFn,TA,None,GdPrv,None,11.976659481202368,159000
287,TA,TA,No,BLQ,Unf,TA,Y,TA,Typ,None,None,None,None,None,None,11.385092093460344,88000
288,TA,TA,No,BLQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.711776323715394,122000
289,TA,TA,No,Unf,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.941944326032129,153575
290,Gd,TA,Av,Unf,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.359780370124389,233230
291,TA,Fa,No,Rec,Unf,Ex,N,Fa,Typ,None,None,None,None,None,None,11.819674600139235,135900
292,TA,TA,No,LwQ,Unf,Gd,Y,TA,Min2,Gd,Unf,TA,None,None,None,11.782952602183288,131000
293,TA,TA,No,ALQ,Unf,Fa,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.367340793126296,235000
294,TA,TA,No,GLQ,Unf,TA,Y,TA,Typ,Gd,Fin,TA,None,None,None,12.025749091398891,167000
295,TA,TA,Av,GLQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,GdPrv,None,11.867097278690842,142500
296,TA,TA,No,BLQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.931635799828413,152000
297,Gd,TA,No,BLQ,Unf,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.384218830913648,239000
298,TA,TA,No,ALQ,Rec,Gd,Y,TA,Typ,Gd,Unf,TA,None,None,None,12.072541252905651,175000
299,TA,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,Unf,TA,None,GdPrv,None,11.973509872299472,158500
300,TA,TA,Mn,BLQ,Unf,TA,Y,TA,Typ,Gd,Unf,TA,None,None,None,11.964001084330445,157000
301,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.495003937382387,267000
302,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.230765258120545,205000
303,TA,TA,No,ALQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,GdWo,None,11.917723684090689,149900
304,TA,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Ex,Unf,TA,None,None,None,12.594730635321957,295000
305,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,Fin,TA,None,None,None,12.631013530138995,305900
306,Gd,TA,No,ALQ,Unf,Gd,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.323855681186558,225000
307,TA,TA,No,Unf,Unf,TA,Y,Fa,Typ,None,None,None,None,MnPrv,None,11.401993904262946,89500
308,TA,TA,No,BLQ,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.320553572322773,82500
309,Ex,TA,Gd,GLQ,Unf,Ex,Y,Ex,Typ,Ex,Fin,TA,None,None,None,12.793859310432293,360000
310,Gd,TA,No,ALQ,Unf,Gd,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.017330520933296,165600
311,TA,TA,No,ALQ,Unf,Ex,Y,TA,Typ,Gd,Unf,TA,None,None,None,11.790557201568507,132000
312,Gd,TA,Mn,Rec,Unf,TA,Y,TA,Typ,Gd,Unf,TA,None,MnPrv,None,11.694413341015606,119900
313,Gd,TA,Gd,ALQ,Rec,TA,Y,TA,Typ,Gd,RFn,TA,None,None,None,12.834681304952548,375000
314,TA,Gd,No,LwQ,Unf,Ex,Y,Ex,Typ,Gd,Unf,TA,None,None,None,12.089538829274222,178000
315,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.146853285870202,188500
316,Gd,TA,No,GLQ,Unf,TA,Y,Ex,Typ,TA,RFn,TA,None,GdPrv,None,12.468436909997665,260000
317,Gd,TA,Av,Unf,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.506177237980511,270000
318,Gd,TA,Gd,GLQ,Unf,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.468436909997665,260000
319,Gd,TA,Av,GLQ,Unf,TA,Y,TA,Typ,TA,Unf,TA,None,None,None,12.141534124392603,187500
320,Ex,Gd,Av,Unf,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.7444443677961,342643
321,Ex,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.777052192115912,354000
322,TA,TA,Gd,LwQ,ALQ,Ex,Y,Gd,Typ,TA,Fin,TA,None,MnPrv,None,12.614865543731012,301000
323,TA,TA,No,ALQ,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.745425111208464,126175
324,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.396693005138824,242000
325,TA,TA,Av,BLQ,Unf,Po,N,TA,Typ,None,Unf,TA,None,None,None,11.37366339763672,87000
326,Gd,TA,Gd,GLQ,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.688498794774466,324000
327,TA,TA,No,Rec,Unf,TA,Y,TA,Typ,None,RFn,TA,None,None,None,11.886211674714158,145250
328,TA,TA,No,Unf,Unf,Gd,N,Gd,Typ,None,Unf,TA,None,None,None,12.27606501735021,214500
329,TA,TA,Mn,Unf,Unf,TA,N,TA,Typ,None,Unf,Fa,None,GdWo,None,11.26446410567173,78000
330,TA,TA,No,GLQ,Rec,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.686878772093667,119000
331,TA,TA,No,Rec,Unf,Fa,Y,TA,Typ,None,RFn,TA,None,None,None,11.842229212112828,139000
332,Gd,TA,No,GLQ,None,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.556729517143344,284000
333,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.240474072247506,207000
334,Gd,TA,Gd,GLQ,Unf,Gd,Y,TA,Typ,TA,Fin,TA,None,None,None,12.165250651009918,192000
335,TA,TA,Gd,ALQ,BLQ,Ex,Y,TA,Typ,Gd,Fin,TA,None,None,Shed,12.341258918085241,228950
336,Ex,TA,Gd,GLQ,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.841129801965447,377426
337,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.273731294003989,214000
338,Gd,TA,Mn,ALQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,Shed,12.218495165528731,202500
339,TA,Fa,No,Rec,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.951180395901384,155000
340,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,None,Fin,TA,None,None,None,12.220468525813907,202900
341,TA,Fa,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.314474526246391,82000
342,None,None,None,None,None,Fa,N,TA,Typ,None,Unf,TA,None,None,None,11.379394072345706,87500
343,Ex,TA,No,GLQ,Unf,Ex,Y,Ex,Typ,Ex,RFn,TA,None,None,None,12.491251587763836,266000
344,Gd,TA,No,Rec,BLQ,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.350406535472453,85000
345,TA,TA,No,Unf,Unf,Gd,Y,Fa,Typ,Gd,Unf,TA,None,None,None,11.850825253582627,140200
346,TA,TA,Mn,BLQ,Unf,TA,Y,TA,Typ,None,RFn,TA,None,None,Gar2,11.928340903931561,151500
347,TA,TA,No,BLQ,Unf,Ex,Y,TA,Typ,Gd,Unf,TA,None,None,None,11.967180737247824,157500
348,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,11.944707881395766,154000
349,Ex,TA,No,GLQ,Unf,Ex,Y,Ex,Typ,Ex,Fin,TA,None,None,None,12.988040814744458,437154
350,Ex,TA,No,Unf,Unf,Ex,Y,Ex,Typ,Gd,RFn,TA,None,None,None,12.669998467265833,318061
351,Gd,TA,Gd,GLQ,Unf,Gd,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.154779351142624,190000
352,TA,Fa,Mn,LwQ,Rec,TA,N,TA,Typ,None,Unf,Fa,None,None,None,11.461632170582678,95000
353,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.570250531589497,105900
354,TA,TA,No,LwQ,Unf,Ex,Y,TA,Typ,Gd,Unf,TA,None,None,None,11.84939770159144,140000
355,Gd,Gd,No,ALQ,BLQ,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.086725887897607,177500
356,Gd,TA,No,GLQ,Unf,Gd,Y,Gd,Typ,None,RFn,TA,None,None,None,12.061046873479915,173000
357,Gd,TA,No,ALQ,Unf,TA,Y,TA,Typ,Po,Fin,TA,None,MnPrv,None,11.805595078933049,134000
358,TA,TA,Av,BLQ,Rec,Ex,Y,Gd,Min2,None,Unf,TA,None,None,None,11.77528972943772,130000
359,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.542544882151386,280000
360,Gd,TA,Av,GLQ,Unf,Ex,Y,TA,Typ,TA,RFn,TA,None,MnPrv,None,11.957611286231675,156000
361,TA,TA,No,Rec,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.884489021402711,145000
362,None,None,None,None,None,Ex,Y,Gd,Typ,Ex,RFn,TA,None,None,None,12.198544379109382,198500
363,TA,TA,No,ALQ,Unf,Gd,Y,Gd,Typ,None,Unf,TA,None,None,None,11.678439903447801,118000
364,Gd,TA,Mn,GLQ,Unf,TA,Y,TA,Typ,TA,Fin,TA,None,None,None,12.154779351142624,190000
365,TA,Fa,No,Rec,Unf,Gd,Y,TA,Typ,None,Unf,Fa,None,None,None,11.898187865760873,147000
366,Gd,TA,No,BLQ,Unf,Gd,Y,TA,Typ,Gd,RFn,TA,None,None,None,11.976659481202368,159000
367,Gd,TA,Gd,GLQ,Unf,Gd,Y,TA,Typ,Gd,RFn,TA,None,None,None,12.013700752882718,165000
368,TA,TA,No,LwQ,Unf,Gd,Y,TA,Typ,Gd,Fin,TA,None,None,None,11.790557201568507,132000
369,TA,TA,No,ALQ,Rec,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,11.99535161421452,162000
370,Gd,TA,No,Unf,Unf,Ex,Y,TA,Typ,TA,RFn,TA,None,None,None,12.05757263721173,172400
371,None,None,None,None,None,TA,Y,TA,Min2,Gd,Fin,TA,None,None,None,11.808813773969108,134432
372,Gd,TA,No,ALQ,LwQ,TA,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.736069016284437,125000
373,TA,TA,No,BLQ,LwQ,TA,Y,TA,Min2,None,Unf,TA,None,GdWo,None,11.719939634354555,123000
374,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.299107511497363,219500
375,Fa,Po,Gd,BLQ,Unf,Gd,N,Fa,Maj1,None,None,None,None,None,None,11.018629143155449,61000
376,Gd,TA,Av,GLQ,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.904967552746252,148000
377,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.736700896592344,340000
378,Ex,TA,Av,GLQ,Unf,Ex,Y,Ex,Typ,Ex,Fin,TA,None,None,None,12.885202034321916,394432
379,Gd,TA,No,Unf,Unf,Ex,Y,TA,Typ,TA,Fin,TA,None,None,None,12.095141084822892,179000
380,TA,TA,No,LwQ,Unf,TA,Y,Gd,Typ,Gd,Unf,TA,None,None,None,11.751942365440728,127000
381,Gd,Gd,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.142866569626381,187750
382,Gd,TA,Av,Unf,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.271392111650817,213500
383,Fa,Fa,No,Unf,Unf,TA,N,TA,Typ,None,Unf,Fa,None,None,None,11.238488619268468,76000
384,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,Fa,Fin,TA,None,None,None,12.388394202324129,240000
385,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.165250651009918,192000
386,TA,TA,No,Unf,Unf,TA,Y,TA,Typ,None,None,None,None,None,None,11.302204433654575,81000
387,TA,TA,Av,ALQ,Unf,Ex,Y,TA,Typ,Fa,Unf,TA,None,GdWo,None,11.736069016284437,125000
388,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.160028707028767,191000
389,Ex,TA,Av,GLQ,Unf,Ex,Y,Ex,Typ,Ex,Fin,TA,None,None,None,12.962194625251508,426000
390,TA,Gd,No,Rec,BLQ,Ex,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.686878772093667,119000
391,Ex,TA,No,ALQ,Unf,Ex,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.2783933071098,215000
392,None,None,None,None,None,TA,Y,TA,Typ,None,RFn,TA,None,MnPrv,Shed,11.575900264131617,106500
393,TA,TA,No,Rec,Unf,TA,Y,TA,Typ,TA,None,None,None,GdWo,None,11.512925464970229,100000
394,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.59910316121128,109000
395,TA,TA,Av,BLQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.76756768334381,129000
396,TA,TA,Av,Rec,Unf,TA,Y,TA,Typ,None,RFn,TA,None,None,None,11.719939634354555,123000
397,TA,TA,No,ALQ,Unf,TA,Y,TA,Typ,TA,RFn,TA,None,None,None,12.040608205802641,169500
398,Fa,Po,No,Unf,Unf,Gd,Y,TA,Maj2,None,Unf,Po,None,None,None,11.112447898373103,67000
399,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,Fin,TA,None,None,None,12.392552212472792,241000
400,Gd,TA,No,GLQ,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.411052226216713,245500
401,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.01364014498549,164990
402,TA,TA,No,Unf,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,GdPrv,None,11.589886506106357,108000
403,Gd,TA,No,Unf,Unf,Gd,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.460714863903755,258000
404,Gd,TA,No,Unf,Unf,Gd,Y,TA,Typ,TA,Fin,TA,None,None,None,12.031719258385396,168000
405,TA,TA,No,BLQ,Unf,Ex,Y,TA,Min1,TA,Unf,TA,None,GdWo,None,11.918390573078392,150000
406,TA,TA,No,Unf,Unf,Ex,Y,TA,Maj2,None,Unf,TA,None,None,None,11.652687407345388,115000
407,Gd,TA,No,Unf,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,12.083905011555967,177000
408,Ex,Gd,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.542544882151386,280000
409,Ex,TA,No,GLQ,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.73596533201339,339750
410,TA,Fa,No,Unf,Unf,TA,Y,TA,Mod,None,Unf,TA,None,None,None,11.002099841204238,60000
411,TA,TA,Mn,Rec,Unf,TA,N,TA,Typ,None,Fin,TA,None,None,None,11.884489021402711,145000
412,Ex,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.310432660854417,222000
413,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,Gd,Unf,TA,None,None,None,11.652687407345388,115000
414,Gd,TA,No,BLQ,GLQ,Ex,Y,Gd,Typ,TA,Unf,TA,None,None,None,12.337100907936577,228000
415,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,None,Fin,TA,None,None,None,12.106992367829498,181134
416,TA,TA,No,ALQ,Unf,TA,Y,TA,Typ,TA,Fin,TA,None,None,None,11.915051671812877,149500
417,Gd,TA,No,BLQ,Unf,TA,N,TA,Typ,Gd,Unf,TA,None,None,None,12.384218830913648,239000
418,TA,TA,No,ALQ,Unf,Fa,N,TA,Typ,None,Unf,TA,None,None,None,11.744037185933616,126000
419,TA,TA,No,BLQ,Unf,Ex,Y,TA,Typ,Fa,Unf,TA,None,None,None,11.863582336583399,142000
420,Gd,Gd,Gd,GLQ,Unf,Ex,Y,TA,Typ,None,Fin,TA,None,None,None,12.237086699059343,206300
421,Gd,TA,No,ALQ,Unf,Gd,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.2783933071098,215000
422,TA,TA,No,Unf,Unf,Ex,Y,TA,Typ,None,RFn,TA,None,None,None,11.635143097694478,113000
423,Gd,TA,No,GLQ,Unf,Gd,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.66032791780777,315000
424,Gd,TA,No,LwQ,Unf,Gd,Y,TA,Typ,Gd,RFn,TA,None,None,None,11.842229212112828,139000
425,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,Gd,Unf,TA,None,None,None,11.813030057420567,135000
426,Gd,TA,Gd,GLQ,Unf,Gd,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.524526376648708,275000
427,TA,TA,No,Rec,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.59917655301345,109008
428,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.182804018590819,195400
429,Gd,TA,Mn,GLQ,Unf,TA,Y,Gd,Typ,TA,Unf,TA,None,None,None,12.072541252905651,175000
430,TA,TA,No,ALQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.355101379776661,85400
431,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,None,None,None,MnPrv,None,11.288531131754366,79900
432,TA,TA,No,ALQ,Unf,Ex,Y,TA,Min1,None,Unf,TA,None,None,None,11.715866308966918,122500
433,Gd,TA,No,Unf,Unf,Ex,Y,TA,Typ,TA,Fin,TA,None,None,None,12.106252310247962,181000
434,Gd,TA,Av,ALQ,Unf,Gd,Y,TA,Typ,None,None,None,None,None,None,11.302204433654575,81000
435,Gd,TA,Av,GLQ,ALQ,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.26434155365415,212000
436,Fa,TA,No,Unf,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.661345470088502,116000
437,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.686878772093667,119000
438,TA,TA,No,LwQ,Unf,TA,N,Gd,Typ,Gd,Unf,TA,None,MnPrv,None,11.411446296020374,90350
439,TA,Fa,Mn,Unf,Unf,Gd,Y,Gd,Typ,None,Unf,TA,None,GdPrv,Shed,11.608235644774552,110000
440,Ex,TA,Gd,GLQ,ALQ,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,13.226723392728571,555000
441,TA,TA,No,ALQ,Unf,TA,N,Fa,Typ,None,None,None,None,None,None,11.678439903447801,118000
442,TA,TA,No,Unf,Unf,TA,Y,TA,Typ,Gd,Unf,TA,None,None,None,12.000891794590137,162900
443,Ex,TA,Av,Unf,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.058152515453552,172500
444,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,TA,Unf,TA,None,None,None,12.254862809699606,210000
445,TA,TA,No,Unf,Unf,Fa,Y,TA,Typ,Gd,Unf,TA,None,MnPrv,None,11.755871643580617,127500
446,TA,TA,No,ALQ,Rec,Ex,Y,Gd,Mod,Gd,Fin,TA,None,None,None,12.154779351142624,190000
447,Gd,TA,No,Unf,Unf,Gd,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.205572520488492,199900
448,TA,TA,No,Unf,Unf,TA,Y,TA,Typ,Gd,Unf,TA,None,None,None,11.691071650353702,119500
449,TA,TA,No,ALQ,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.695247021764184,120000
